1	20191401	권길동	2000-03-15	82	91
2	20191402	최길동	2000-01-24	72	82
3	20191403	홍길동	2000-10-01	67	86
4	20191404	장길동	2000-12-24	32	28
5	20191405	나길동	2000-02-14	19	34
6	20191406	박길동	2000-08-12	88	96
7	20191407	소길동	2000-04-24	84	76
8	20191408	이길동	2000-02-27	74	58
9	20191409	임길동	2000-07-12	46	53
10	20191410	추길동	2000-06-07	64	57
11	20191411	신길동	2000-09-12	74	89
12	20191412	염길동	2000-04-30	54	47
13	20191413	남길동	2000-11-11	78	92
14	20191414	문길동	2000-10-21	62	75
15	20191415	오길동	2000-03-14	79	95
16	20191416	안길동	2000-05-08	98	100
17	20191417	정길동	2000-12-22	74	77
18	20191418	하길동	2000-04-19	83	90
19	20191419	김길동	2000-08-04	92	94
20	20191420	고길동	2000-09-13	77	87
